Using SPARSE 1.3 as Direct Linear Solver

Note: Compatibility modes selected: hs a


Circuit: comparator atlas: nominal published 27-device matched layout experiment

option SCALE: Scale is set to 1e-06 for instance and model parameters
Doing analysis at TEMP = -40.000000 and TNOM = 27.000000


Initial Transient Solution
--------------------------

Node                                   Voltage
          l                     0                     0                     0

 Capacitor: Fixed capacitor
     device           c.xdut.c257           c.xdut.c256           c.xdut.c255
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

 Capacitor: Fixed capacitor
     device           c.xdut.c254           c.xdut.c253           c.xdut.c252
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

 Capacitor: Fixed capacitor
     device           c.xdut.c251           c.xdut.c250           c.xdut.c249
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

 Capacitor: Fixed capacitor
     device           c.xdut.c248           c.xdut.c247           c.xdut.c246
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

 Capacitor: Fixed capacitor
     device           c.xdut.c245           c.xdut.c244           c.xdut.c243
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

 Capacitor: Fixed capacitor
     device           c.xdut.c242           c.xdut.c241           c.xdut.c240
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

 Capacitor: Fixed capacitor
     device           c.xdut.c239           c.xdut.c238           c.xdut.c237
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

 Capacitor: Fixed capacitor
     device           c.xdut.c236           c.xdut.c235           c.xdut.c234
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

 Capacitor: Fixed capacitor
     device           c.xdut.c233           c.xdut.c232           c.xdut.c231
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

 Capacitor: Fixed capacitor
